"group_id","device_id","timestamp","paddockNames","lat","long","model_ref","Nmin [kg/ha]","Nmin - Nutrient class","NO3-N [kg/ha]","NO3-N - Nutrient class","N total [%]","N total - Nutrient class","P [mg/100g]","P - Nutrient class","K (beta) [mg/100g]","K (beta) - Nutrient class","Moisture [%]","Moisture - Nutrient class","pH ","pH - Nutrient class","SOC [%]","SOC - Nutrient class","SOM [%]","SOM - Nutrient class","C/N Ratio ","C/N Ratio - Nutrient class","Mg [mg/100g]","Mg - Nutrient class","Soil Temperature [°C]","Light (infrared) [lux]","Light (visible) [lux]","Air Temperature [°C]","Humidity [%]","Air Pressure [hPa]","Volatile organic compounds [ohm]","Soil texture class ","issue_classes","labels"
"297-PGF-20221109-36",297,"2022-11-09T13:32:59.000Z","Groß_schwiesow","53.8539045","12.1000689","a51003b9-c769-417c-ab66-db562e2fb587",103,"",90,"D",0.1,"",6,"",13.6,"",12.1,"",6.7,"E",1.5,"",2.5,"",12.7,"D",8.7,"",12.7,658,183,16.3,61.6,1006,139036,2,"",""
"297-PGF-20221109-37",297,"2022-11-09T13:36:30.000Z","Groß_schwiesow","53.8542306","12.0994028","a51003b9-c769-417c-ab66-db562e2fb587",152,"",122,"D",0.1,"",6.1,"",14.8,"",13.4,"",6.7,"C",2.4,"",4.2,"",16.6,"E",10.1,"",11.7,644,173,16.4,61.8,1006,138976,3,"",""
"297-PGF-20221109-38",297,"2022-11-09T13:40:09.000Z","Groß_schwiesow","53.8543686","12.0986232","a51003b9-c769-417c-ab66-db562e2fb587",262,"",179,"F",0.3,"",25.4,"",14.9,"",22,"",6.3,"C",4.6,"",8,"",15.4,"E",16.4,"",11.6,613,173,16.3,62.1,1006,140486,3,"",""
"297-PGF-20221109-39",297,"2022-11-09T13:43:36.000Z","Groß_schwiesow","53.8546871","12.0980364","a51003b9-c769-417c-ab66-db562e2fb587",221,"",166,"F",0.2,"",16.8,"",16.1,"",17,"",6,"B",4.5,"",7.7,"",18,"E",17,"",11.8,483,139,16.3,62.4,1006,141186,3,"",""
"297-PGF-20221109-40",297,"2022-11-09T13:46:45.000Z","Groß_schwiesow","53.8548804","12.0973153","a51003b9-c769-417c-ab66-db562e2fb587",214,"",140,"E",0.2,"",11.3,"",17,"",15,"",6.4,"D",3.2,"",5.5,"",17.4,"E",13.3,"",11.9,477,141,16.2,62.8,1006,140793,2,"",""
"297-PGF-20221109-41",297,"2022-11-09T13:50:14.000Z","Groß_schwiesow","53.8550453","12.096598","a51003b9-c769-417c-ab66-db562e2fb587",132,"",105,"D",0.1,"",5.3,"",15.3,"",12.7,"",6.8,"D",1.7,"",3,"",14.8,"D",12.5,"",11.9,424,130,16.1,62.9,1006,141260,3,"",""
"297-PGF-20221109-42",297,"2022-11-09T13:53:28.000Z","Groß_schwiesow","53.8553906","12.0959729","a51003b9-c769-417c-ab66-db562e2fb587",127,"",107,"D",0.1,"",6.7,"",17.7,"",13.4,"",6.9,"D",2.3,"",3.9,"",17.2,"E",12.8,"",11.9,380,115,15.9,63.2,1006,141398,3,"",""
"297-PGF-20221109-43",297,"2022-11-09T13:59:49.000Z","Groß_schwiesow","53.8555376","12.0952136","a51003b9-c769-417c-ab66-db562e2fb587",187,"",142,"E",0.2,"",9.9,"",18.5,"",13,"",6.5,"D",2.5,"",4.4,"",14.8,"D",14,"",12,335,100,15.7,64,1006,140786,2,"",""
"297-PGF-20221109-44",297,"2022-11-09T14:04:26.000Z","Groß_schwiesow","53.8551451","12.0949543","a51003b9-c769-417c-ab66-db562e2fb587",152,"",120,"D",0.1,"",7,"",16.7,"",12.5,"",6.7,"D",2,"",3.4,"",16.9,"E",12.3,"",12.1,381,104,15.7,64.8,1006,138765,3,"",""
"297-PGF-20221109-45",297,"2022-11-09T14:08:28.000Z","Groß_schwiesow","53.8549782","12.0956896","a51003b9-c769-417c-ab66-db562e2fb587",119,"",88,"D",0.1,"",6.1,"",15.1,"",13.3,"",6.6,"C",1.5,"",2.6,"",12,"D",13.8,"",12.2,500,134,15.7,64.7,1006,141564,5,"",""
"297-PGF-20221109-46",297,"2022-11-09T14:11:54.000Z","Groß_schwiesow","53.8546962","12.0962709","a51003b9-c769-417c-ab66-db562e2fb587",191,"",139,"E",0.1,"",6.7,"",19.6,"",14.4,"",7,"D",2.1,"",3.6,"",16.2,"E",15.7,"",12.1,438,116,15.9,64.5,1006,138898,4,"",""
"297-PGF-20221109-48",297,"2022-11-09T14:19:19.000Z","Groß_schwiesow","53.8543289","12.0976379","a51003b9-c769-417c-ab66-db562e2fb587",235,"",151,"E",0.2,"",15.4,"",16.2,"",15.8,"",6.5,"C",3.2,"",5.5,"",16.6,"E",18.5,"",12.2,380,97,15.9,64.6,1006,142106,3,"",""
"297-PGF-20221109-47",297,"2022-11-09T14:15:15.000Z","Groß_schwiesow","53.8544199","12.0969224","a51003b9-c769-417c-ab66-db562e2fb587",167,"",120,"D",0.2,"",10.1,"",15.4,"",13.7,"",6.5,"D",2.2,"",3.7,"",11.3,"D",14.8,"",12.2,324,84,15.9,64.5,1006,142796,2,"",""
"297-PGF-20221109-49",297,"2022-11-09T14:23:10.000Z","Groß_schwiesow","53.8539779","12.0981757","a51003b9-c769-417c-ab66-db562e2fb587",121,"",99,"D",0.2,"",8.5,"",14.1,"",12.4,"",6.6,"D",2,"",3.4,"",13.1,"D",11.6,"",12.2,298,77,15.8,64.3,1006,143874,2,"",""
"297-PGF-20221109-50",297,"2022-11-09T14:26:25.000Z","Groß_schwiesow","53.8538799","12.0989466","a51003b9-c769-417c-ab66-db562e2fb587",161,"",123,"D",0.1,"",10.7,"",13.7,"",13.7,"",6.8,"D",1.7,"",3,"",13.8,"D",16.4,"",12.2,469,104,15.8,64.8,1006,143668,3,"",""
"297-PGF-20221109-51",297,"2022-11-09T14:29:56.000Z","Groß_schwiesow","53.8535611","12.099533","a51003b9-c769-417c-ab66-db562e2fb587",116,"",116,"D",0.1,"",6.4,"",15.6,"",13.8,"",7.1,"D",1.5,"",2.5,"",17.7,"E",14.7,"",12.2,435,101,15.8,64.7,1006,142898,4,"",""
"297-PGF-20221109-52",297,"2022-11-09T14:32:41.000Z","Groß_schwiesow","53.8534121","12.1000375","a51003b9-c769-417c-ab66-db562e2fb587",95,"",77,"C",0.1,"",6.2,"",13.7,"",11.2,"",6.9,"E",1.2,"",2.1,"",13.4,"D",10.8,"",12.2,745,139,15.8,64.4,1006,145686,2,"",""
"297-PGF-20221109-53",297,"2022-11-09T14:36:43.000Z","Groß_schwiesow","53.8528151","12.1001043","a51003b9-c769-417c-ab66-db562e2fb587",108,"",99,"D",0.1,"",6.3,"",15.7,"",12.7,"",7,"C",1.4,"",2.4,"",12.4,"D",11.5,"",12.4,957,184,15.7,65,1006,144711,5,"",""
"297-PGF-20221109-55",297,"2022-11-09T14:45:15.000Z","Groß_schwiesow","53.8532039","12.0987056","a51003b9-c769-417c-ab66-db562e2fb587",112,"",106,"D",0.1,"",3.5,"",16.4,"",12.8,"",7.1,"D",1.4,"",2.5,"",11.1,"D",14.3,"",12.2,279,70,15.6,64.7,1006,145766,4,"",""
"297-PGF-20221109-54",297,"2022-11-09T14:40:43.000Z","Groß_schwiesow","53.8531075","12.0994851","a51003b9-c769-417c-ab66-db562e2fb587",116,"",105,"D",0.1,"",5.5,"",16.3,"",14.4,"",7,"D",1.4,"",2.4,"",11.7,"D",12.2,"",12.1,385,88,15.8,64.4,1006,146247,4,"",""
"297-PGF-20221109-56",297,"2022-11-09T14:48:29.000Z","Groß_schwiesow","53.8535084","12.0981036","a51003b9-c769-417c-ab66-db562e2fb587",133,"",114,"D",0.1,"",7.5,"",15.1,"",12.8,"",6.8,"E",1.6,"",2.8,"",13.4,"D",10.8,"",11.9,340,80,15.5,65.2,1006,144828,2,"",""
"297-PGF-20221109-57",297,"2022-11-09T14:51:39.000Z","Groß_schwiesow","53.8537834","12.0974805","a51003b9-c769-417c-ab66-db562e2fb587",221,"",141,"E",0.2,"",13.4,"",16.2,"",14.8,"",6.5,"C",3,"",5.2,"",14.3,"D",11.1,"",11.6,283,67,15.4,65.6,1006,143973,3,"",""
