"group_id","device_id","timestamp","paddockNames","lat","long","model_ref","Nmin [kg/ha]","Nmin - Nutrient class","NO3-N [kg/ha]","NO3-N - Nutrient class","N total [%]","N total - Nutrient class","P [mg/100g]","P - Nutrient class","K (beta) [mg/100g]","K (beta) - Nutrient class","Moisture [%]","Moisture - Nutrient class","pH ","pH - Nutrient class","SOC [%]","SOC - Nutrient class","SOM [%]","SOM - Nutrient class","C/N Ratio ","C/N Ratio - Nutrient class","Mg [mg/100g]","Mg - Nutrient class","Soil Temperature [°C]","Light (infrared) [lux]","Light (visible) [lux]","Air Temperature [°C]","Humidity [%]","Air Pressure [hPa]","Volatile organic compounds [ohm]","Soil texture class ","issue_classes","labels"
"297-PGF-20221109-1",297,"2022-11-09T10:07:42.000Z","Kassow_107","53.8677969","12.075","a51003b9-c769-417c-ab66-db562e2fb587",83,"",71,"C",0.1,"",9.4,"",10.1,"",11.1,"",6.5,"D",1.1,"",1.9,"",13.5,"D",8.1,"",12.8,1202,331,16.6,61.9,1005,114879,2,"",""
"297-PGF-20221109-2",297,"2022-11-09T10:12:44.000Z","Kassow_107","53.8674176","12.0755219","a51003b9-c769-417c-ab66-db562e2fb587",55,"",41,"B",0.1,"",7.9,"",9.7,"",11.7,"",6.4,"D",0.9,"",1.6,"",13.1,"D",7.4,"",10.9,1325,367,16.5,62.7,1005,117936,2,"",""
"297-PGF-20221109-3",297,"2022-11-09T10:17:18.000Z","Kassow_107","53.8671009","12.0760915","a51003b9-c769-417c-ab66-db562e2fb587",53,"",50,"C",0.1,"",6.2,"",11,"",12.2,"",6.5,"D",1,"",1.7,"",14.4,"D",7,"",11.1,1240,316,16.5,63,1005,120838,2,"",""
"297-PGF-20221109-4",297,"2022-11-09T10:22:03.000Z","Kassow_107","53.8668308","12.0766877","a51003b9-c769-417c-ab66-db562e2fb587",63,"",53,"C",0.1,"",9.7,"",12.5,"",11.2,"",6.6,"D",1.1,"",1.9,"",12.7,"D",7.8,"",11.3,1383,362,16.6,61.8,1005,124499,2,"",""
"297-PGF-20221109-6",297,"2022-11-09T10:31:08.000Z","Kassow_107","53.8670788","12.0773331","a51003b9-c769-417c-ab66-db562e2fb587",67,"",41,"B",0.1,"",6.8,"",11.2,"",9.5,"",6.5,"D",0.8,"",1.4,"",11.8,"D",6.7,"",11.7,1689,455,16.7,62.5,1005,126342,2,"",""
"297-PGF-20221109-5",297,"2022-11-09T10:25:50.000Z","Kassow_107","53.8664572","12.0771724","a51003b9-c769-417c-ab66-db562e2fb587",58,"",58,"C",0.1,"",8.1,"",9,"",11.1,"",6.3,"C",0.9,"",1.5,"",10.6,"D",7.2,"",11.5,1640,475,16.7,62.3,1005,124396,2,"",""
"297-PGF-20221109-11",297,"2022-11-09T10:55:55.000Z","Kassow_107","53.867704","12.0772018","a51003b9-c769-417c-ab66-db562e2fb587",56,"",55,"C",0.1,"",7.2,"",9,"",10.7,"",6.4,"D",0.8,"",1.4,"",10.5,"D",5.2,"",11.3,716,193,16.5,62.2,1005,130234,2,"",""
"297-PGF-20221109-12",297,"2022-11-09T11:00:20.000Z","Kassow_107","53.8674641","12.0778031","a51003b9-c769-417c-ab66-db562e2fb587",72,"",64,"C",0.1,"",8.6,"",11.2,"",11.1,"",6.5,"D",1.1,"",1.9,"",15,"D",6,"",11.3,597,174,16,63,1005,131290,2,"",""
"297-PGF-20221109-7",297,"2022-11-09T10:35:52.000Z","Kassow_107","53.8673453","12.076994","a51003b9-c769-417c-ab66-db562e2fb587",57,"",45,"C",0.1,"",7.5,"",11.1,"",12.1,"",6.4,"D",1,"",1.8,"",13.2,"D",6.6,"",11.4,1362,350,16.7,61.7,1005,127466,2,"",""
"297-PGF-20221109-8",297,"2022-11-09T10:41:42.000Z","Kassow_107","53.8675805","12.0764067","a51003b9-c769-417c-ab66-db562e2fb587",65,"",50,"C",0.1,"",7.3,"",9.5,"",10.7,"",6.3,"D",0.9,"",1.5,"",10.7,"D",5.8,"",11.3,1223,280,17,62.1,1005,123969,2,"",""
